ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,E9,0A,01,02,09,1066533632,33,0378,2021-08-24 13:45:33,R,315687917
00,D88039EC48E0,000E,15,EC,0A,01,0A,09,1066533632,33,0378,2021-08-24 13:49:44,R,315690316
00,D88039EC48E0,000E,15,EE,0A,01,0A,09,1066533632,33,0378,2021-08-24 13:59:45,R,315696157
00,D88039EC48E0,000E,15,EF,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:09:45,R,315701997
00,D88039EC48E0,000E,15,F0,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:19:46,R,315707933
00,D88039EC48E0,000E,15,F1,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:29:47,R,315713801
00,D88039EC48E0,000E,15,F2,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:39:48,R,315719636
00,D88039EC48E0,000E,15,F3,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:49:49,R,315725467
00,D88039EC48E0,000E,15,F4,0A,01,0A,09,1066533632,33,0378,2021-08-24 14:59:49,R,315731323
00,D88039EC48E0,000E,15,F5,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:09:50,R,315737150
00,D88039EC48E0,000E,15,F6,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:19:51,R,315743022
00,D88039EC48E0,000E,15,F7,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:29:52,R,315748802
00,D88039EC48E0,000E,15,F8,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:39:53,R,315754636
00,D88039EC48E0,000E,15,F9,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:49:54,R,315760511
00,D88039EC48E0,000E,15,FA,0A,01,0A,09,1066533632,33,0378,2021-08-24 15:59:55,R,315766479
00,D88039EC48E0,000E,15,FB,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:09:55,R,315772334
00,D88039EC48E0,000E,15,FC,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:19:56,R,315778238
